scenario_name,coverage (mean),coverage (stdev),final_fitness (mean),final_fitness (stdev),first_depletion,initial_fitness (mean),initial_fitness (stdev),nb_sleeping (mean),nb_sleeping (stdev),overlapping (mean),overlapping (stdev),term1_final (mean),term1_final (stdev),term1_initial (mean),term1_initial (stdev),term2_final (mean),term2_final (stdev),term2_initial (mean),term2_initial (stdev)
"A=0.5, b=0.5",,,,,,,,,,,,,,,,,,,
FCM + Pso (1),0.893694185352,0.0417144217793,0.689271013032,0.0205059728561,2929,0.584059970198,0.0225573147594,0.235977374489,0.0390489179381,0.477334459361,0.0718647239622,0.649140395847,0.054452040978,0.610099649507,0.0689482194656,0.729401630208,0.040467206073,0.558020291074,0.0640090803776
FCM + ModifiedPso (1),0.897001944768,0.0408350422659,0.787363211629,0.0226744226219,3307,0.604587021235,0.0288947498619,0.288733104156,0.0425122284541,0.439871434085,0.0861340883967,0.812727419847,0.0473449397638,0.633296624183,0.0673505403968,0.761999004041,0.0407946000158,0.57587741866,0.0621310039155
FCM + Ecca (1),0.846786435416,0.044655014287,0.799718727447,0.0217331123659,3389,0.602858577621,0.027009616205,0.329593661258,0.0581931480833,0.248872326682,0.0785290694758,0.832271795923,0.0463846244832,0.623557419738,0.0589557672521,0.76716565953,0.0466952654056,0.582159735747,0.0547303727001
"A=0.75, b=0.25",,,,,,,,,,,,,,,,,,,
FCM + Pso (2),0.812354052942,0.0542404103081,0.78770400943,0.0328392515205,3076,0.634365377338,0.0345084040807,0.292379419284,0.0408794248939,0.468104390709,0.0759664558906,0.833112455964,0.0445359925042,0.671322459392,0.0482677456647,0.651478673552,0.0561819599988,0.523494131738,0.0709870553048
FCM + ModifiedPso (2),0.80964124838,0.0539160842356,0.851836826886,0.023405104832,3504,0.629055870511,0.0345137504402,0.343694356492,0.0488557252182,0.357927186866,0.0927345494688,0.902000417856,0.0307840256696,0.660314608132,0.0472152757108,0.701346059032,0.0578214559214,0.535279656629,0.0669592308236
FCM + Ecca (2),0.794293558015,0.0591668322123,0.845171026403,0.0235248093319,3465,0.626847431602,0.0325837949574,0.359805996186,0.0556204773489,0.367921221053,0.0869512759946,0.908728943682,0.0299226162415,0.661526776907,0.045571115725,0.654497276613,0.0650556648761,0.522809395021,0.0651502574475
"A=0.25, b=0.75",,,,,,,,,,,,,,,,,,,
FCM + Pso (3),0.956372239002,0.0296091611881,0.759817944681,0.0182181131888,1754,0.58806684803,0.0290681703519,0.317287670931,0.0321966198874,0.129312915978,0.0484328223412,0.312454592313,0.0616985198813,0.524536459572,0.0838176712891,0.908939056313,0.0326368318777,0.609243643972,0.0445972326598
FCM + ModifiedPso (3),0.945085422881,0.0292811801364,0.769943545253,0.0137093174078,2477,0.593140657498,0.0278381929943,0.301424448892,0.0439848763867,0.14710210174,0.0479274391398,0.391154814274,0.112577895032,0.514284906789,0.095607424592,0.896206456484,0.0342975635293,0.619425907315,0.0476736137825
FCM + Ecca (3),0.852033872881,0.0432744434028,0.689216559391,0.0166240473071,3309,0.570697913999,0.0223104399561,0.433059407126,0.0497028933234,0.201388013737,0.0584224901421,0.493945395227,0.108394864714,0.511438588175,0.102496927043,0.754306947998,0.0420638843027,0.590451023199,0.0453852745425
"A=1, b=0",,,,,,,,,,,,,,,,,,,
FCM + Pso (4),0.886106965724,0.0463394722562,0.811947728548,0.0363198392327,2808,0.656287624083,0.0423287078898,0.175630521418,0.0386012991111,0.747981772496,0.094247562991,0.81194778825,0.0363185046731,0.656287683785,0.0423277823415,0.604430154747,0.0458991798306,0.495290549444,0.0670874102594
FCM + ModifiedPso (4),0.707704964722,0.0656253611789,0.926839685909,0.0241949047288,3580,0.66583613879,0.0439514208583,0.36779327159,0.0623018707597,0.462255185811,0.100626475396,0.926839685909,0.0241949047288,0.66583613879,0.0439514208583,0.567187161092,0.0685500256682,0.497217315067,0.0714120307956
FCM + Ecca (4),0.733013609658,0.0577888255569,0.96511582597,0.0197692632298,3378,0.67423253327,0.0438706711104,0.330258136768,0.0508906595422,0.546060903796,0.102556967835,0.96511582597,0.0197692632298,0.67423253327,0.0438706711104,0.567336561131,0.0646233895894,0.498315997026,0.070831754694
"a=0, b=1",,,,,,,,,,,,,,,,,,,
FCM + Pso (5),0.966245370963,0.0137994833572,0.936859708533,0.0129216395095,1575,0.627009835328,0.0456936489238,0.332664320582,0.0299536405076,0.0860270982903,0.0490687280837,0.182767514865,0.0917277379895,0.463335802408,0.0793543124401,0.936859708533,0.0129216395095,0.627009835328,0.0456936489238
FCM + ModifiedPso (5),0.948112470665,0.0279080047314,0.886841296832,0.0304433423193,1818,0.630969229215,0.0549209455368,0.424489157289,0.0728932066498,0.16807462208,0.0645318543142,0.182390053004,0.0534846267711,0.43420839871,0.0793398120645,0.886841296832,0.0304433423193,0.630969229215,0.0549209455368
FCM + Ecca (5),0.911747341456,0.0210991190168,0.841114534503,0.0228707520024,1517,0.620614644178,0.043752676218,0.51071619055,0.191733156534,0.173007454062,0.0705570812076,0.232660491961,0.0613300000744,0.431312517183,0.0889270588566,0.841114534503,0.0228707520024,0.620614644178,0.043752676218
